What gender do you identify with?,Age,Age Range ,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q5OTH1,"What is your race? (white, black, latino, asian, other)",Q6OTH1,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? (for ""approve"" or ""disapprove,"" probe: strongly or somewhat?)","Would you say you are more knowledgable, less knowledgeable, or equally knowledgeable as the average American about political issues?","Would you say that your opinions about economic policy are well-informed, or not very well-informed?","How often do you get into arguments about politics? Never, once a year, once a month, once a week, or more than once a week?","If you had to guess the size of the federal budget, do you think it would be in millions, billions, or trillions?",Do you think it’s good for a country to have a high GDP or a low GDP?,"Can you name the three branches of government? (if they name legislative, executive, and judicial, mark ""correct""; otherwise, mark ""incorrect"")","Can you name one economist who is alive today? (write down the name they provide, ask for spelling)","If you had to guess, what percentage of economists believe that Trump’s decision to impose tariffs on steel and aluminum will improve American welfare?",True or false: The national crime rate is higher this decade than it was the previous decade.,"True or false: If a scientific study finds a correlation between poverty and crime, it proves that poverty causes crime.",True or false: The statue of liberty is located in Washington D.C.,"Who would you prefer as president of the United States, Barack Obama or Vladimir Putin?",q14x,q15x
Male,50,45-54,Independent,5,Graduate degree,,White,,Somewhat Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,,10,TRUE,FALSE,FALSE,DK/REF,Don't know,
Female,60,55-64,Independent,5,Some college,,Latino,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,Billions,Low GDP,DK/REF,,20,TRUE,TRUE,TRUE,Barack Obama,Don't know,
Female,53,45-54,Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,,50,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Female,52,45-54,Democrat,Strong Liberal,Some college,,White,,Strongly Disapprove,More knowlegeable,Well Informed,More than once,Trillions,High GDP,Correct,Paul Kruger,6,FALSE,DK/REF,FALSE,Barack Obama,,
Female,36,35-44,Republican,Strong Conservative,College degree,,White,,Neither approve nor disapprove,Equally knowlegeable,Not very well informed,Once a year,Billions,High GDP,Correct,,25,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,53,45-54,Independent,Strong Conservative,High school or less,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,,50,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,62,55-64,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Never,DK/REF,Low GDP,DK/REF,,0,DK/REF,TRUE,FALSE,DK/REF,Don't know,
Male,66,65+,Independent,Strong Conservative,Graduate degree,,White,,Neither approve nor disapprove,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,,20,TRUE,FALSE,FALSE,Vladimir Putin,Don't know,
Female,57,55-64,Republican,Strong Conservative,College degree,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Once a year,Trillions,DK/REF,DK/REF,,60,TRUE,TRUE,FALSE,Vladimir Putin,Don't know,
Male,55,55-64,DK/REF,DK/REF,High school or less,,White,,DK/REF,Less knowlegeable,Not very well informed,Never,Trillions,DK/REF,DK/REF,,20,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,61,55-64,Independent,5,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,Frank Reich,18,TRUE,FALSE,FALSE,Barack Obama,,
Female,18,18-24,Democrat,Strong Conservative,High school or less,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Never,DK/REF,Low GDP,DK/REF,,50,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,59,55-64,Democrat,5,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,,0,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,65,65+,Independent,Strong Liberal,College degree,,DK/REF,,Strongly Disapprove,DK/ REF,Not very well informed,Once a year,Trillions,High GDP,DK/REF,Donald Trump,11,TRUE,FALSE,FALSE,Barack Obama,,
Female,63,55-64,Democrat,Strong Liberal,High school or less,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,,5,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Male,65,65+,Democrat,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,More than once,Trillions,High GDP,Correct,Paul Krug,10,FALSE,TRUE,FALSE,Barack Obama,,
Male,40,35-44,Republican,5,Graduate degree,,White,,Somewhat Disapprove,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,,20,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,53,45-54,Republican,Strong Conservative,High school or less,,White,,Somewhat Approve,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,,47,TRUE,FALSE,FALSE,DK/REF,Don't know,
Male,50,45-54,Independent,5,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,Paul Krugman,5,FALSE,FALSE,FALSE,Barack Obama,,
Female,55,55-64,DK/REF,DK/REF,High school or less,,Black,,Strongly Disapprove,More knowlegeable,Not very well informed,Never,DK/REF,DK/REF,Incorrect,,25,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,56,55-64,Democrat,5,Some college,,White,,Somewhat Approve,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Incorrect,Warren Buffett,15,FALSE,TRUE,FALSE,DK/REF,,
Female,51,45-54,Independent,5,DK/REF,,DK/REF,,Neither approve nor disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,DK/REF,DK/REF,Warren Buffett,0,DK/REF,TRUE,FALSE,DK/REF,,
Female,58,55-64,Democrat,5,High school or less,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,DK/REF,DK/REF,DK/REF,,1,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Female,52,45-54,Republican,Strong Conservative,College degree,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Once a year,Trillions,High GDP,Incorrect,,0,TRUE,FALSE,FALSE,DK/REF,Don't know,
Male,48,45-54,Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More knowlegeable,Not very well informed,Once a month,Trillions,High GDP,Correct,,10,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,64,55-64,Independent,Strong Conservative,Some college,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Incorrect,Alan Greenspan,50,FALSE,TRUE,TRUE,DK/REF,,
Female,59,55-64,Democrat,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a week,Trillions,High GDP,Correct,Warren Buffett,10,DK/REF,TRUE,FALSE,Barack Obama,,
Male,27,25-34,Independent,Not very Strong Liberal,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,Warren Buffett,15,FALSE,TRUE,FALSE,Barack Obama,,
Female,51,45-54,Democrat,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,High GDP,Incorrect,Alan Greenspan,3,FALSE,FALSE,FALSE,Barack Obama,,
Female,61,55-64,Republican,Strong Conservative,College degree,,White,,Somewhat Approve,Equally knowlegeable,Well Informed,Once a month,Trillions,DK/REF,DK/REF,,40,FALSE,FALSE,FALSE,DK/REF,Don't know,
Female,50,45-54,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,,40,TRUE,FALSE,FALSE,Vladimir Putin,Don't know,
Female,39,35-44,Independent,5,Some college,,DK/REF,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a year,Trillions,Low GDP,DK/REF,,25,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Male,55,55-64,Republican,Not Very Strong conservative,College degree,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,,0,FALSE,TRUE,FALSE,Vladimir Putin,Don't know,
Male,45,45-54,Independent,5,College degree,,Other,Mixed,Neither approve nor disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Allan Pressel,20,DK/REF,FALSE,FALSE,DK/REF,,
Male,28,25-34,Republican,Not Very Strong conservative,High school or less,,Other,White and Black,Somewhat Approve,Equally knowlegeable,Well Informed,Once a month,Billions,High GDP,Incorrect,,30,TRUE,FALSE,FALSE,DK/REF,Don't know,
Male,45,45-54,DK/REF,5,College degree,,Other,Native,DK/REF,Equally knowlegeable,Not very well informed,Never,Trillions,DK/REF,DK/REF,,,DK/REF,FALSE,FALSE,DK/REF,Don't know,Don't know
Female,55,55-64,Independent,5,College degree,,Latino,,Neither approve nor disapprove,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,DK/REF,,,DK/REF,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,28,25-34,Independent,5,Graduate degree,,DK/REF,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,DK/REF,DK/REF,,20,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,37,35-44,Independent,5,College degree,,Asian,,Somewhat Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,Bernanke,,FALSE,FALSE,FALSE,Barack Obama,,Don't know
Male,20,18-24,Independent,Not very Strong Liberal,Some college,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,More than once,Trillions,High GDP,Correct,Krueger,30,FALSE,TRUE,FALSE,Barack Obama,,
Male,41,35-44,Democrat,Not very Strong Liberal,College degree,,Latino,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a month,Billions,DK/REF,DK/REF,,0,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Male,75,65+,Democrat,5,High school or less,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,DK/REF,,,FALSE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,45,45-54,Democrat,Strong Liberal,College degree,,Black,,Strongly Disapprove,More knowlegeable,Well Informed,More than once,Billions,High GDP,Correct,,30,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,40,35-44,Independent,Not Very Strong conservative,High school or less,,Black,,DK/REF,More knowlegeable,Not very well informed,Never,DK/REF,High GDP,Incorrect,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,28,25-34,Republican,Strong Conservative,Graduate degree,,Other,Mixed race,Neither approve nor disapprove,Equally knowlegeable,Not very well informed,Once a month,Trillions,High GDP,Correct,,15,TRUE,TRUE,FALSE,Vladimir Putin,Don't know,
Male,25,25-34,Independent,5,College degree,,Other,South American,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,,20,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Male,60,55-64,Republican,Strong Conservative,College degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,60,FALSE,FALSE,FALSE,DK/REF,Don't know,
Female,25,25-34,Independent,5,Graduate degree,,Asian,,DK/REF,Less knowlegeable,DK/REF,Once a year,DK/REF,High GDP,DK/REF,,,DK/REF,FALSE,FALSE,Barack Obama,Don't know,Don't know
Male,21,18-24,DK/REF,Strong Conservative,Some college,,Asian,,Strongly Approve,More knowlegeable,Well Informed,Once a month,Billions,High GDP,Correct,Michael Porter,25,TRUE,FALSE,FALSE,DK/REF,,
Male,46,45-54,Democrat,Not very Strong Liberal,Some college,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Incorrect,,10,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,25,25-34,Independent,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a week,Trillions,Low GDP,Correct,,40,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Male,35,35-44,Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a month,Billions,DK/REF,Incorrect,,64,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Male,48,45-54,Republican,5,Graduate degree,,White,,Somewhat Approve,More knowlegeable,Not very well informed,Once a month,Trillions,DK/REF,Correct,,50,FALSE,TRUE,FALSE,DK/REF,Don't know,
Male,40,35-44,Democrat,Not Very Strong conservative,High school or less,,Latino,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a year,Millions,High GDP,DK/REF,,,FALSE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,62,55-64,Republican,5,Graduate degree,,Latino,,DK/REF,Equally knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,Daniel Celia,60,FALSE,TRUE,FALSE,DK/REF,,
Male,57,55-64,Republican,Not Very Strong conservative,High school or less,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a year,Trillions,Low GDP,Correct,Neil Cavuto,70,FALSE,FALSE,FALSE,DK/REF,,
Male,20,18-24,DK/REF,Not Very Strong conservative,High school or less,,Latino,,Neither approve nor disapprove,Equally knowlegeable,Not very well informed,Once a month,Billions,Low GDP,DK/REF,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,55,55-64,Democrat,5,Some college,,Latino,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,DK/REF,DK/REF,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,85,65+,Republican,Strong Conservative,Some college,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Never,DK/REF,DK/REF,Incorrect,Ronald Reagan,50,TRUE,FALSE,DK/REF,DK/REF,,
Female,77,65+,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More knowlegeable,DK/REF,Once a year,Trillions,DK/REF,Incorrect,,,DK/REF,TRUE,FALSE,DK/REF,Don't know,Don't know
Female,61,55-64,Independent,Strong Liberal,College degree,,White,,Somewhat Disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,High GDP,Incorrect,,,FALSE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,73,65+,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More knowlegeable,Not very well informed,Once a month,DK/REF,DK/REF,Incorrect,,20,TRUE,FALSE,FALSE,DK/REF,Don't know,
Male,65,65+,Independent,Not very Strong Liberal,Graduate degree,,Asian,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,DK/REF,Incorrect,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,69,65+,Independent,Strong Liberal,College degree,,Asian,,Strongly Disapprove,More knowlegeable,Well Informed,More than once,Billions,High GDP,Correct,,30,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Female,61,55-64,Democrat,5,Some college,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a week,Trillions,Low GDP,Incorrect,,10,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,82,65+,Republican,5,Some college,,White,,Somewhat Approve,Equally knowlegeable,Well Informed,Once a week,Trillions,High GDP,DK/REF,,60,FALSE,FALSE,FALSE,DK/REF,Don't know,
Male,73,65+,Democrat,Strong Conservative,High school or less,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,,5,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,27,25-34,Republican,Not very Strong Liberal,Some college,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,DK/REF,,,FALSE,FALSE,FALSE,DK/REF,Don't know,Don't know
Female,55,55-64,DK/REF,DK/REF,College degree,,Black,,DK/REF,Less knowlegeable,Not very well informed,Never,Millions,DK/REF,Correct,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,65,65+,Democrat,Strong Conservative,High school or less,,Latino,,DK/REF,Equally knowlegeable,Well Informed,Once a year,Trillions,High GDP,DK/REF,,40,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,50,45-54,Republican,Strong Conservative,Some college,,White,,Strongly Approve,Equally knowlegeable,DK/REF,Never,Trillions,Low GDP,Incorrect,,30,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,19,18-24,DK/REF,5,High school or less,,Latino,,Somewhat Disapprove,Less knowlegeable,Not very well informed,Never,DK/REF,High GDP,Incorrect,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,62,55-64,Independent,5,Graduate degree,,White,,Somewhat Disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,DK/REF,Correct,I have none.,,FALSE,FALSE,FALSE,Barack Obama,,Don't know
Female,75,65+,Democrat,5,High school or less,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,DK/REF,Incorrect,,5,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Male,29,25-34,Republican,5,Graduate degree,,White,,Neither approve nor disapprove,More knowlegeable,Well Informed,Once a year,Trillions,DK/REF,Correct,,55,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,28,25-34,Independent,DK/REF,High school or less,,Latino,,Somewhat Disapprove,Less knowlegeable,Not very well informed,Once a year,DK/REF,Low GDP,Incorrect,,50,FALSE,TRUE,TRUE,Barack Obama,Don't know,
Male,57,55-64,Republican,Strong Conservative,College degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Thomas Sowell,10,FALSE,TRUE,FALSE,Barack Obama,,
Male,32,25-34,DK/REF,DK/REF,Other,Middle school,Other,Pacific Islander,DK/REF,DK/ REF,DK/REF,Never,Millions,Low GDP,Incorrect,Bill Clinton,100,FALSE,FALSE,TRUE,Vladimir Putin,,
Female,48,45-54,Democrat,5,Graduate degree,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,Allan Greenspan,0,FALSE,FALSE,FALSE,Barack Obama,,
Male,27,25-34,Republican,Strong Conservative,College degree,,White,,DK/REF,Less knowlegeable,Not very well informed,More than once,Trillions,DK/REF,Incorrect,Malcolm X,10,TRUE,TRUE,FALSE,Barack Obama,,
Female,53,45-54,Independent,5,Graduate degree,,Black,,Neither approve nor disapprove,More knowlegeable,Well Informed,More than once,Trillions,High GDP,Correct,,20,FALSE,TRUE,FALSE,Vladimir Putin,Don't know,
Male,82,65+,Democrat,DK/REF,High school or less,,Black,,Strongly Disapprove,DK/ REF,DK/REF,DK/REF,Trillions,High GDP,DK/REF,,,DK/REF,TRUE,TRUE,Barack Obama,Don't know,Don't know
Female,62,55-64,Independent,Strong Liberal,College degree,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,,10,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,28,25-34,Independent,5,Some college,,Latino,,Somewhat Approve,More knowlegeable,Not very well informed,Once a month,Billions,High GDP,Correct,,20,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,57,55-64,Democrat,5,College degree,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,Incorrect,,75,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,45,45-54,Republican,Strong Conservative,College degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,,30,FALSE,TRUE,FALSE,DK/REF,Don't know,
Male,50,45-54,Independent,5,College degree,,Latino,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,High GDP,Incorrect,,,FALSE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,36,35-44,Independent,5,Some college,,White,,Neither approve nor disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,High GDP,DK/REF,,,FALSE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Male,33,25-34,Independent,5,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,Steven Jenkins,30,FALSE,FALSE,FALSE,Barack Obama,,
Female,58,55-64,Independent,Not Very Strong conservative,Some college,,White,,Strongly Approve,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,40,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Other,32,25-34,Independent,5,College degree,,Black,,Neither approve nor disapprove,More knowlegeable,Not very well informed,Never,Trillions,Low GDP,DK/REF,,25,TRUE,TRUE,FALSE,DK/REF,Don't know,
Male,21,18-24,DK/REF,DK/REF,College degree,,White,,DK/REF,Equally knowlegeable,Well Informed,Once a month,Trillions,High GDP,Incorrect,,30,TRUE,TRUE,FALSE,DK/REF,Don't know,
Male,58,55-64,Democrat,5,College degree,,Black,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,Low GDP,Incorrect,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,50,45-54,Independent,Strong Conservative,College degree,,White,,Somewhat Approve,More knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,,,FALSE,FALSE,FALSE,Vladimir Putin,Don't know,Don't know
Male,71,65+,Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Incorrect,,,TRUE,TRUE,FALSE,DK/REF,Don't know,Don't know
Male,23,18-24,DK/REF,5,High school or less,,Asian,,Strongly Disapprove,Less knowlegeable,Not very well informed,Once a year,Millions,High GDP,Incorrect,,,FALSE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,60,55-64,Democrat,Strong Liberal,Some college,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,,,FALSE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,74,65+,Republican,Not Very Strong conservative,Some college,,White,,Strongly Approve,More knowlegeable,Well Informed,Never,Trillions,DK/REF,DK/REF,,90,FALSE,TRUE,FALSE,DK/REF,Don't know,
Male,68,65+,Independent,Not Very Strong conservative,Graduate degree,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,Correct,,50,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,63,55-64,Independent,Not Very Strong conservative,High school or less,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,Kudlow,40,FALSE,TRUE,FALSE,Barack Obama,,
Female,36,35-44,Democrat,5,High school or less,,Black,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a year,Trillions,DK/REF,DK/REF,,80,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,60,55-64,Republican,5,Some college,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,,0,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,73,65+,Republican,Strong Conservative,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a year,Trillions,DK/REF,Incorrect,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,57,55-64,Independent,DK/REF,High school or less,,White,,Neither approve nor disapprove,Less knowlegeable,Not very well informed,More than once,Trillions,DK/REF,Incorrect,,,TRUE,TRUE,FALSE,DK/REF,Don't know,Don't know
Female,52,45-54,Democrat,Not very Strong Liberal,College degree,,White,,Somewhat Approve,Less knowlegeable,Well Informed,Once a year,Billions,DK/REF,Incorrect,,10,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,84,65+,Republican,Strong Conservative,College degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Never,DK/REF,DK/REF,Incorrect,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,58,55-64,Democrat,5,High school or less,,White,,Somewhat Disapprove,Equally knowlegeable,Not very well informed,Never,DK/REF,DK/REF,Incorrect,,,DK/REF,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,76,65+,Democrat,5,Some college,,Black,,Somewhat Approve,Equally knowlegeable,Well Informed,Once a month,Billions,High GDP,Incorrect,,,FALSE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,59,55-64,Republican,Strong Conservative,College degree,,White,,Strongly Approve,More knowlegeable,Not very well informed,Never,DK/REF,DK/REF,Correct,I can't say that.,60,TRUE,TRUE,FALSE,Vladimir Putin,,
Female,62,55-64,Democrat,5,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,,0,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,64,55-64,Democrat,Not very Strong Liberal,Some college,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,Low GDP,Incorrect,,30,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,60,55-64,Independent,5,High school or less,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,DK/REF,,,FALSE,TRUE,TRUE,Barack Obama,Don't know,Don't know
Female,50,45-54,Independent,Not very Strong Liberal,College degree,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a year,Trillions,DK/REF,Incorrect,,30,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Female,70,65+,Independent,5,Some college,,Black,,Strongly Disapprove,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,Incorrect,,30,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,48,45-54,Independent,Strong Conservative,College degree,,White,,Somewhat Approve,Equally knowlegeable,Well Informed,Never,Billions,High GDP,Incorrect,,33,TRUE,FALSE,FALSE,DK/REF,Don't know,
Female,61,55-64,Democrat,5,High school or less,,Black,,Strongly Disapprove,More knowlegeable,Not very well informed,Never,DK/REF,High GDP,DK/REF,,,TRUE,TRUE,TRUE,Barack Obama,Don't know,Don't know
Male,63,55-64,Independent,Strong Conservative,College degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Cohen,30,TRUE,FALSE,FALSE,DK/REF,,
Male,45,45-54,Democrat,Strong Liberal,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Janet Yelen,10,FALSE,FALSE,FALSE,Barack Obama,,
Female,43,35-44,Independent,5,College degree,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,10,DK/REF,FALSE,FALSE,Barack Obama,Don't know,
Male,65,65+,Republican,Not Very Strong conservative,High school or less,,White,,Strongly Approve,Less knowlegeable,Not very well informed,Never,Billions,DK/REF,DK/REF,,,TRUE,TRUE,FALSE,DK/REF,Don't know,Don't know
Female,57,55-64,DK/REF,DK/REF,High school or less,,White,,Somewhat Disapprove,Less knowlegeable,Not very well informed,Once a month,Millions,High GDP,Incorrect,,,TRUE,TRUE,DK/REF,Barack Obama,Don't know,Don't know
Female,47,45-54,Democrat,5,High school or less,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Never,DK/REF,DK/REF,DK/REF,,,TRUE,FALSE,TRUE,DK/REF,Don't know,Don't know
Female,59,55-64,Democrat,5,Some college,,Latino,,DK/REF,DK/ REF,Not very well informed,Once a week,DK/REF,DK/REF,DK/REF,,,FALSE,DK/REF,FALSE,Barack Obama,Don't know,Don't know
Male,33,25-34,Republican,5,College degree,,White,,DK/REF,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Warren Buffett,42,TRUE,FALSE,FALSE,DK/REF,,
Female,33,25-34,Democrat,Strong Liberal,College degree,,Black,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Billions,High GDP,Incorrect,,30,FALSE,FALSE,FALSE,Barack Obama,Don't know,
DK/REF,97,65+,Democrat,DK/REF,Graduate degree,,DK/REF,,Strongly Approve,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Steve Forbes,90,TRUE,FALSE,FALSE,DK/REF,,
