What gender do you identify with?,Age,Age Range ,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q5OTH1,"What is your race? (white, black, latino, asian, other)",Q6OTH1,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? (for ""approve"" or ""disapprove,"" probe: strongly or somewhat?)","Would you say you are more knowledgable, less knowledgeable, or equally knowledgeable as the average American about political issues?","Would you say that your opinions about economic policy are well-informed, or not very well-informed?","How often do you get into arguments about politics? Never, once a year, once a month, once a week, or more than once a week?","If you had to guess the size of the federal budget, do you think it would be in millions, billions, or trillions?",Do you think it’s good for a country to have a high GDP or a low GDP?,"Can you name the three branches of government? (if they name legislative, executive, and judicial, mark ""correct""; otherwise, mark ""incorrect"")","Can you name one economist who is alive today? (write down the name they provide, ask for spelling)","If you had to guess, what percentage of economists believe that Trump’s decision to impose tariffs on steel and aluminum will improve American welfare?",True or false: The national crime rate is higher this decade than it was the previous decade.,"True or false: If a scientific study finds a correlation between poverty and crime, it proves that poverty causes crime.",True or false: The statue of liberty is located in Washington D.C.,"Who would you prefer as president of the United States, Barack Obama or Vladimir Putin?",q14x,q15x
Male,61,55-64,Independent,Not Very Strong conservative,High school or less,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,Billions,High GDP,Correct,Jim Kramer,40,FALSE,TRUE,FALSE,Barack Obama,,
Female,33,25-34,Democrat,Strong Liberal,High school or less,,Black,,Strongly Approve,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,Sewel,50,FALSE,FALSE,FALSE,Barack Obama,,
Male,59,55-64,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,Equally knowlegeable,Not very well informed,Once a year,Trillions,DK/REF,DK/REF,I don't know.,0,FALSE,TRUE,DK/REF,DK/REF,,
Female,48,45-54,Democrat,Strong Liberal,Graduate degree,,Black,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,DK/REF,Greenstein,47,TRUE,FALSE,FALSE,Barack Obama,,
Male,58,55-64,Republican,Strong Conservative,Some college,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,Incorrect,I don't know.,70,TRUE,TRUE,FALSE,DK/REF,,
Male,50,45-54,Democrat,Not Very Strong conservative,High school or less,,White,,Strongly Disapprove,More knowlegeable,Well Informed,DK/REF,Trillions,High GDP,Incorrect,Green Stan,10,FALSE,TRUE,FALSE,Barack Obama,,
Female,62,55-64,Independent,DK/REF,Some college,,White,,Neither approve nor disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,DK/REF,DK/REF,I don't know.,60,TRUE,FALSE,FALSE,DK/REF,,
Male,53,45-54,Independent,Not Very Strong conservative,Other,Vocational school,White,,Somewhat Approve,Equally knowlegeable,Well Informed,Never,DK/REF,DK/REF,DK/REF,I don't know.,65,TRUE,TRUE,FALSE,Barack Obama,,
Female,62,55-64,Independent,DK/REF,High school or less,,Latino,,Somewhat Approve,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,DK/REF,I don't know.,0,TRUE,TRUE,FALSE,Barack Obama,,
Female,65,65+,Independent,DK/REF,College degree,,White,,Somewhat Approve,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,I don't know.,25,TRUE,TRUE,FALSE,Barack Obama,,
